,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
0,1506-1540,Blue,Maokai,Kha'Zix,Cassiopeia,Varus,Tahm Kench,Syndra,Malzahar,Ashe,Karma,Poppy,1
1,1506-1540,Red,Kled,Lee Sin,Ryze,Caitlyn,Nautilus,Camille,Rengar,Zyra,Elise,Rek'Sai,0
2,1506-1541,Blue,Maokai,Lee Sin,Corki,Caitlyn,Thresh,Syndra,Malzahar,Ashe,Rek'Sai,Kha'Zix,1
3,1506-1541,Red,Trundle,Rumble,Ryze,Jhin,Zyra,Rengar,Camille,Varus,Cassiopeia,Orianna,0
4,1507-1544,Blue,Singed,Rengar,LeBlanc,Varus,Tahm Kench,Jayce,Elise,Malzahar,Kha'Zix,Lee Sin,1
5,1507-1544,Red,Maokai,Graves,Ryze,Ashe,Zyra,Camille,Rek'Sai,Syndra,Trundle,Nami,0
6,1507-1545,Blue,Nautilus,Lee Sin,Cassiopeia,Jhin,Zyra,Rek'Sai,Camille,Elise,Ashe,Varus,0
7,1507-1545,Red,Maokai,Kha'Zix,Ryze,Sivir,Tahm Kench,Malzahar,Rengar,LeBlanc,Trundle,Kled,1
8,1508-1551,Blue,Maokai,Rek'Sai,Orianna,Ashe,Zyra,Elise,Ryze,Tahm Kench,Trundle,Nautilus,1
9,1508-1551,Red,Poppy,Lee Sin,Cassiopeia,Varus,Miss Fortune,Camille,LeBlanc,Rengar,Syndra,Caitlyn,0
10,1508-1552,Blue,Nautilus,Kha'Zix,Cassiopeia,Ashe,Karma,Zyra,Malzahar,Varus,Caitlyn,Thresh,1
11,1508-1552,Red,Maokai,Lee Sin,Ryze,Ezreal,Braum,Camille,Rengar,LeBlanc,Trundle,Tahm Kench,0
12,1508-1557,Blue,Maokai,Elise,Corki,Ezreal,Zyra,Kha'Zix,Ryze,Cassiopeia,Tahm Kench,Miss Fortune,1
13,1508-1557,Red,Trundle,Lee Sin,Syndra,Ashe,Malzahar,Camille,LeBlanc,Rengar,Varus,Caitlyn,0
14,1509-1558,Blue,Maokai,Lee Sin,Syndra,Caitlyn,Zyra,Jayce,Malzahar,Rengar,Ryze,Rumble,1
15,1509-1558,Red,Nautilus,Rek'Sai,Corki,Varus,Miss Fortune,Camille,LeBlanc,Kha'Zix,Ashe,Vi,0
16,1509-1559,Blue,Nautilus,Lee Sin,Orianna,Varus,Zyra,Camille,Jayce,LeBlanc,Ashe,Caitlyn,0
17,1509-1559,Red,Maokai,Kha'Zix,Ryze,Jhin,Miss Fortune,Rengar,Syndra,Cassiopeia,Elise,Rek'Sai,1
18,1510-1560,Blue,Camille,Rek'Sai,Ziggs,Ezreal,Thresh,Jhin,Syndra,Katarina,Tahm Kench,Fiora,0
19,1510-1560,Red,Darius,Lee Sin,Ryze,Ashe,Zyra,LeBlanc,Rengar,Malzahar,Cassiopeia,Orianna,1
20,1510-1561,Blue,Camille,Kha'Zix,Corki,Caitlyn,Karma,Jhin,Lee Sin,Ryze,Zyra,Tahm Kench,1
21,1510-1561,Red,Poppy,Rek'Sai,Orianna,Ashe,Nami,Rengar,LeBlanc,Malzahar,Syndra,Ahri,0
22,1510-1562,Blue,Maokai,Lee Sin,Ryze,Jhin,Tahm Kench,Corki,Malzahar,Syndra,Karma,Caitlyn,1
23,1510-1562,Red,Fiora,Elise,Orianna,Kog'Maw,Miss Fortune,Rengar,Camille,LeBlanc,Ashe,Zyra,0
24,1511-1563,Blue,Nautilus,Rek'Sai,Cassiopeia,Varus,Tahm Kench,Malzahar,LeBlanc,Lee Sin,Ashe,Jhin,1
25,1511-1563,Red,Maokai,Elise,Ryze,Ezreal,Trundle,Rengar,Camille,Zyra,Karma,Jayce,0
26,1511-1564,Blue,Trundle,Rek'Sai,Syndra,Ashe,Zyra,Jayce,Malzahar,Jhin,Nautilus,Thresh,1
27,1511-1564,Red,Maokai,Lee Sin,Corki,Varus,Karma,LeBlanc,Rengar,Camille,Tahm Kench,Singed,0
28,1511-1565,Blue,Nautilus,Kha'Zix,Orianna,Jhin,Zyra,LeBlanc,Syndra,Lee Sin,Jayce,None,1
29,1511-1565,Red,Maokai,Rek'Sai,Ryze,Varus,Miss Fortune,Rengar,Camille,Malzahar,Caitlyn,Ashe,0
30,1512-1566,Blue,Nautilus,Vi,Syndra,Ashe,Miss Fortune,Malzahar,Ryze,Maokai,Varus,Jhin,0
31,1512-1566,Red,Gangplank,Lee Sin,Ahri,Caitlyn,Zyra,Rengar,Camille,LeBlanc,Kha'Zix,Elise,1
32,1512-1567,Blue,Gangplank,Lee Sin,Syndra,Jhin,Tahm Kench,Ryze,Camille,Zyra,Orianna,Thresh,0
33,1512-1567,Red,Maokai,Kha'Zix,Ekko,Varus,Trundle,LeBlanc,Rengar,Malzahar,Nautilus,Poppy,1
34,1512-1568,Blue,Kled,Elise,Syndra,Jhin,Miss Fortune,Malzahar,Ryze,Maokai,Ahri,Nautilus,1
35,1512-1568,Red,Rumble,Kha'Zix,Corki,Varus,Zyra,Rengar,LeBlanc,Camille,Ashe,Poppy,0
36,1513-1569,Blue,Maokai,Lee Sin,Ryze,Sivir,Thresh,Jayce,Malzahar,Camille,Caitlyn,Jhin,1
37,1513-1569,Red,Singed,Kha'Zix,Orianna,Ashe,Tahm Kench,LeBlanc,Rengar,Zyra,Kalista,Varus,0
38,1513-1570,Blue,Maokai,Lee Sin,Karma,Jhin,Tahm Kench,Jayce,Malzahar,Camille,Caitlyn,Ashe,1
39,1513-1570,Red,Fiora,Rek'Sai,Syndra,Varus,Trundle,LeBlanc,Rengar,Ryze,Zyra,Miss Fortune,0
40,1514-1571,Blue,Rumble,Rek'Sai,Syndra,Ezreal,Miss Fortune,Ryze,Maokai,LeBlanc,Jayce,Ashe,1
41,1514-1571,Red,Nautilus,Lee Sin,Corki,Caitlyn,Zyra,Elise,Rengar,Camille,Jhin,Varus,0
42,1514-1572,Blue,Kennen,Kha'Zix,Syndra,Jhin,Malzahar,Elise,Rumble,Ryze,Tahm Kench,Orianna,1
43,1514-1572,Red,Maokai,Rek'Sai,Karma,Ashe,Zyra,Rengar,Camille,LeBlanc,Nautilus,Trundle,0
44,1514-1573,Blue,Shen,Olaf,Syndra,Varus,Karma,LeBlanc,Kha'Zix,Malzahar,Jhin,Ashe,1
45,1514-1573,Red,Maokai,Lee Sin,Ryze,Sivir,Nami,Camille,Rengar,Tahm Kench,Rek'Sai,Elise,0
46,1515-1574,Blue,Jayce,Kha'Zix,Cassiopeia,Jhin,Zyra,Maokai,Corki,Rengar,Miss Fortune,Tahm Kench,1
47,1515-1574,Red,Poppy,Elise,Ryze,Caitlyn,Thresh,Camille,LeBlanc,Syndra,Varus,Ashe,0
48,1515-1575,Blue,Nautilus,Lee Sin,LeBlanc,Sivir,Malzahar,Kha'Zix,Miss Fortune,Tahm Kench,Jayce,Elise,0
49,1515-1575,Red,Poppy,Vi,Ryze,Varus,Zyra,Rengar,Camille,Maokai,Ashe,Caitlyn,1
50,1516-1594,Blue,Darius,Lee Sin,Corki,Caitlyn,Camille,Malzahar,Jayce,Syndra,Cassiopeia,Ryze,0
51,1516-1594,Red,Singed,Kha'Zix,Viktor,Varus,Tahm Kench,LeBlanc,Rengar,Zyra,Jhin,Ashe,1
52,1516-1597,Blue,Maokai,Kha'Zix,Viktor,Jhin,Tahm Kench,Malzahar,LeBlanc,Zyra,Kennen,Darius,1
53,1516-1597,Red,Shen,Lee Sin,Corki,Varus,Karma,Rengar,Camille,Jayce,Syndra,Cassiopeia,0
54,1517-1599,Blue,Jayce,Ivern,Ziggs,Sivir,Malzahar,Gangplank,Maokai,LeBlanc,Poppy,Lee Sin,1
55,1517-1599,Red,Shen,Olaf,Corki,Varus,Zyra,Rengar,Camille,Kha'Zix,Orianna,Syndra,0
56,1517-1600,Blue,Poppy,Rengar,Cassiopeia,Jhin,Miss Fortune,Ivern,Malzahar,Camille,Ziggs,Orianna,0
57,1517-1600,Red,Shen,Kha'Zix,Ekko,Caitlyn,Zyra,Gangplank,Maokai,LeBlanc,Ryze,Syndra,1
58,1518-1605,Blue,Maokai,Lee Sin,Azir,Varus,Miss Fortune,Jayce,Singed,Camille,Ashe,Jhin,0
59,1518-1605,Red,Kled,Kha'Zix,Ryze,Caitlyn,Malzahar,Rengar,LeBlanc,Zyra,Orianna,Corki,1
60,1518-1608,Blue,Maokai,Malzahar,Ryze,Sivir,Taric,Varus,Kha'Zix,Orianna,Zyra,Miss Fortune,0
61,1518-1608,Red,Jayce,Elise,Syndra,Ashe,Tahm Kench,Camille,Rengar,LeBlanc,Lee Sin,Rek'Sai,1
62,1518-1609,Blue,Poppy,Elise,Syndra,Varus,Miss Fortune,Jayce,Singed,Kha'Zix,Ashe,Caitlyn,1
63,1518-1609,Red,Maokai,Lee Sin,Ryze,Jhin,Malzahar,LeBlanc,Camille,Rengar,Zyra,Orianna,0
64,1519-1611,Blue,Jayce,Ivern,Cassiopeia,Caitlyn,Tahm Kench,Varus,LeBlanc,Rengar,Kennen,Maokai,1
65,1519-1611,Red,Shen,Kha'Zix,Ryze,Jhin,Braum,Syndra,Zyra,Camille,Orianna,Elise,0
66,1519-1612,Blue,Maokai,Kha'Zix,Ryze,Sivir,Bard,Ivern,Syndra,Jayce,Zyra,Tahm Kench,1
67,1519-1612,Red,Shen,Elise,Cassiopeia,Caitlyn,Karma,LeBlanc,Rengar,Camille,Varus,Thresh,0
68,1519-1613,Blue,Singed,Kha'Zix,Ryze,Ashe,Tahm Kench,Maokai,LeBlanc,Rengar,Cassiopeia,Varus,0
69,1519-1613,Red,Camille,Elise,Karma,Jhin,Bard,Syndra,Jayce,Ivern,Caitlyn,Shen,1
70,1520-1614,Blue,Jayce,Ivern,Orianna,Jhin,Zyra,Maokai,Kha'Zix,Singed,Miss Fortune,Tahm Kench,1
71,1520-1614,Red,Fiora,Rek'Sai,Corki,Varus,Thresh,LeBlanc,Rengar,Camille,Syndra,Cassiopeia,0
72,1520-1615,Blue,Nautilus,Lee Sin,Corki,Varus,Thresh,Ivern,Jayce,Zyra,LeBlanc,Ashe,0
73,1520-1615,Red,Maokai,Kha'Zix,Syndra,Sivir,Miss Fortune,Rengar,Jhin,Camille,Fiora,Shen,1
74,1521-1616,Blue,Nautilus,Elise,Orianna,Ashe,Miss Fortune,Maokai,Varus,LeBlanc,Syndra,Corki,0
75,1521-1616,Red,Shen,Lee Sin,Ryze,Jhin,Malzahar,Rengar,Camille,Kha'Zix,Jayce,Cassiopeia,1
76,1521-1617,Blue,Maokai,Graves,Corki,Jhin,Zyra,Kha'Zix,Camille,Ryze,Orianna,Shen,1
77,1521-1617,Red,Singed,Lee Sin,Cassiopeia,Varus,Miss Fortune,Rengar,LeBlanc,Malzahar,Elise,Syndra,0
78,1522-1618,Blue,Nautilus,Kha'Zix,Katarina,Ashe,Zyra,Caitlyn,Shen,Varus,Ivern,Orianna,1
79,1522-1618,Red,Maokai,Olaf,Syndra,Sivir,Malzahar,Camille,Rengar,LeBlanc,Ryze,Corki,0
