Champion,counters champ,champ counters
nilah,"('Smolder', 45)","('Twitch', 61)"
nilah,"('Xayah', 46)","('Samira', 59)"
nilah,"('Draven', 49)","('Varus', 58)"
nilah,"('Vayne', 50)","(""Kai'Sa"", 56)"
nilah,"('Jinx', 51)","('Miss Fortune', 56)"
kayle,"('Irelia', 44)","(""K'Sante"", 59)"
kayle,"('Malphite', 44)","('Volibear', 58)"
kayle,"('Vladimir', 48)","('Illaoi', 58)"
kayle,"('Gnar', 49)","('Yorick', 57)"
kayle,"('Pantheon', 49)","('Tahm Kench', 57)"
kogmaw,"('Tristana', 48)","('Xayah', 58)"
kogmaw,"('Corki', 49)","(""Kai'Sa"", 57)"
kogmaw,"('Jinx', 49)","('Ezreal', 55)"
kogmaw,"('Sivir', 50)","('Twitch', 55)"
kogmaw,"('Aphelios', 50)","('Samira', 55)"
jinx,"('Ziggs', 47)","('Kalista', 57)"
jinx,"('Nilah', 49)","('Samira', 55)"
jinx,"('Tristana', 50)","(""Kai'Sa"", 54)"
jinx,"('Twitch', 50)","('Smolder', 54)"
jinx,"('Lucian', 51)","('Corki', 53)"
nami,"(""Vel'Koz"", 48)","('Mel', 57)"
nami,"('Braum', 48)","('Renata Glasc', 56)"
nami,"('Sona', 50)","('Rakan', 55)"
nami,"('Janna', 50)","('Lux', 54)"
nami,"('Thresh', 50)","('Brand', 54)"
sett,"('Gragas', 46)","('Irelia', 57)"
sett,"('Teemo', 46)","('Yorick', 57)"
sett,"('Kayle', 46)","('Rumble', 56)"
sett,"('Gnar', 47)","('Fiora', 56)"
sett,"('Kennen', 47)","('Gwen', 55)"
vayne,"(""Kog'Maw"", 46)","('Kalista', 55)"
vayne,"('Jinx', 49)","('Ezreal', 55)"
vayne,"('Miss Fortune', 49)","(""Kai'Sa"", 55)"
vayne,"('Ashe', 50)","('Zeri', 55)"
vayne,"('Nilah', 50)","('Samira', 54)"
nocturne,"('Gwen', 45)","('Gragas', 60)"
nocturne,"('Wukong', 46)","('Rengar', 58)"
nocturne,"('Yorick', 48)","('Elise', 57)"
nocturne,"('Lillia', 49)","('Sejuani', 56)"
nocturne,"('Nunu & Willump', 49)","('Shaco', 56)"
warwick,"('Yorick', 43)","('Talon', 61)"
warwick,"('Amumu', 47)","('Skarner', 58)"
warwick,"('Briar', 47)","('Zed', 58)"
warwick,"('Nunu & Willump', 47)","('Nidalee', 57)"
warwick,"('Karthus', 48)","('Gragas', 56)"
braum,"('Brand', 44)","('Maokai', 57)"
braum,"('Taric', 45)","('Mel', 56)"
braum,"('Renata Glasc', 46)","('Blitzcrank', 55)"
braum,"('Zilean', 47)","('Nautilus', 54)"
braum,"('Rakan', 47)","('Tahm Kench', 54)"
malzahar,"('Swain', 42)","('LeBlanc', 59)"
malzahar,"('Talon', 44)","('Azir', 58)"
malzahar,"('Xerath', 46)","('Qiyana', 57)"
malzahar,"('Fizz', 46)","('Vladimir', 56)"
malzahar,"('Veigar', 47)","('Mel', 55)"
milio,"('Taric', 48)","('Mel', 60)"
milio,"('Blitzcrank', 49)","('Xerath', 57)"
milio,"('Nami', 49)","('Swain', 55)"
milio,"('Bard', 50)","('Pantheon', 55)"
milio,"('Sona', 50)","('Tahm Kench', 55)"
amumu,"('Yorick', 46)","('Zed', 59)"
